<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
14.08.2025 10:35:14	531,6	18,2	12,0	8,6	6,4	9,6	212,8	24,3	10,0	18,4	6,8	5,1
14.08.2025 10:35:20	18,2	18,2	13,6	7,8	6,0	10,4	15,0	14,9	10,8	15,0	6,2	4,9
14.08.2025 10:35:26	48,6	35,0	16,7	10,3	6,7	24,7	45,6	39,0	14,3	40,5	8,1	5,4
14.08.2025 10:35:32	31,5	24,8	13,4	7,4	6,0	17,4	29,5	26,2	11,5	27,0	5,9	4,8
14.08.2025 10:35:38	38,3	25,7	11,8	7,2	5,8	18,4	34,4	28,8	10,2	29,3	5,8	4,7
14.08.2025 10:35:44	33,9	30,6	18,6	10,4	6,1	20,2	30,8	28,7	15,2	30,6	8,1	4,9
14.08.2025 10:35:50	46,9	34,4	18,3	10,3	6,3	24,1	44,9	39,2	16,9	39,7	8,1	5,1
14.08.2025 10:35:56	97,7	31,4	17,0	8,9	6,3	22,5	71,2	43,9	14,1	33,4	7,1	5,1
14.08.2025 10:36:02	38,3	20,4	13,1	7,6	5,7	12,8	30,5	23,1	11,1	20,3	6,1	4,6
14.08.2025 10:36:08	22,1	22,1	19,0	10,7	5,9	11,4	18,2	18,1	15,1	18,2	8,4	4,7
14.08.2025 10:36:14	22,9	22,9	20,8	12,7	6,4	10,3	18,2	18,2	16,2	18,2	9,9	5,2
14.08.2025 10:36:20	28,4	22,1	15,7	10,2	6,3	11,9	23,6	20,9	12,5	21,0	8,0	5,1
14.08.2025 10:36:26	36,6	22,5	8,8	7,2	6,1	15,3	33,5	27,0	8,0	28,2	5,7	4,9
14.08.2025 10:36:32	35,1	28,5	17,6	9,4	6,2	19,1	30,8	27,7	14,5	28,2	7,4	5,1
14.08.2025 10:36:38	30,4	27,0	16,5	10,4	6,3	16,6	28,2	26,0	13,5	28,0	8,2	5,1
14.08.2025 10:36:44	16,7	16,7	13,0	8,2	5,9	8,4	15,2	15,1	10,9	15,2	6,5	4,8
14.08.2025 10:36:50	41,9	21,6	9,0	7,2	5,6	14,3	36,9	27,7	7,9	26,6	5,7	4,5
14.08.2025 10:36:56	29,6	22,9	14,2	10,6	6,2	12,3	26,4	23,2	11,5	23,8	8,3	5,0
14.08.2025 10:37:02	47,3	28,7	12,3	7,8	5,9	20,8	41,2	33,0	10,5	33,5	6,2	4,7
14.08.2025 10:37:08	182,7	32,9	23,1	14,1	6,1	18,8	100,7	38,8	18,8	31,9	10,9	4,9
14.08.2025 10:37:14	35,0	28,0	16,5	10,7	5,8	17,3	32,6	29,0	13,7	30,0	8,4	4,6
14.08.2025 10:37:20	44,4	31,1	13,4	8,1	6,1	23,0	42,0	35,6	11,8	36,9	6,4	4,9
14.08.2025 10:37:26	18,5	18,5	15,5	10,1	6,1	8,4	16,1	16,1	12,8	16,1	7,9	4,9
14.08.2025 10:37:32	82,9	32,9	18,8	11,0	6,6	21,9	63,0	42,0	15,8	35,3	8,6	5,4
14.08.2025 10:37:38	31,7	29,6	19,7	11,3	5,8	18,4	29,6	28,1	16,2	29,5	8,8	4,7
14.08.2025 10:37:44	19,8	17,5	8,7	6,9	6,4	10,6	20,6	18,8	7,7	20,5	5,5	5,2
14.08.2025 10:37:50	12,0	11,9	9,9	7,5	5,6	4,5	10,3	10,2	8,0	10,3	5,9	4,5
14.08.2025 10:37:56	28,0	21,4	12,8	7,8	4,8	13,6	24,8	21,6	10,5	22,2	6,1	3,9
14.08.2025 10:38:02	107,3	35,2	18,2	10,5	6,2	24,7	78,3	48,6	14,9	37,9	8,3	5,0
14.08.2025 10:38:08	35,4	29,2	21,7	12,5	6,0	16,7	29,5	26,8	17,2	27,0	9,7	4,8
14.08.2025 10:38:14	16,2	15,3	7,6	6,1	5,6	9,2	18,5	17,5	7,2	18,5	4,9	4,5
14.08.2025 10:38:20	15,0	14,6	10,3	6,9	5,9	7,8	14,4	14,0	8,8	14,4	5,5	4,8
14.08.2025 10:38:26	10,3	10,3	10,3	8,9	5,3	1,4	8,0	8,0	8,0	8,0	7,0	4,3
14.08.2025 10:38:32	45,8	25,9	14,8	9,6	6,1	16,4	38,0	29,3	12,1	27,7	7,5	4,9
14.08.2025 10:38:38	87,1	38,2	14,0	8,3	5,9	29,9	72,6	51,7	12,4	47,2	6,5	4,8
14.08.2025 10:38:44	184,9	34,3	19,8	10,3	6,0	24,0	105,3	42,6	16,8	36,5	8,1	4,9
14.08.2025 10:38:50	41,2	33,3	22,0	12,1	6,2	21,2	35,6	31,8	17,7	32,9	9,4	5,0
14.08.2025 10:38:56	43,2	25,1	14,5	8,5	6,1	16,5	36,3	28,6	12,3	26,1	6,7	4,9
14.08.2025 10:39:02	188,6	25,5	17,6	9,5	5,7	16,0	116,8	49,3	14,9	24,8	7,5	4,6
14.08.2025 10:39:08	112,2	26,4	15,8	10,0	6,3	16,4	71,6	34,8	12,7	27,1	7,9	5,1
14.08.2025 10:39:14	308,8	24,9	14,4	9,0	5,6	15,9	141,1	30,7	11,7	25,9	7,1	4,5
14.08.2025 10:39:20	25,0	23,1	13,6	7,1	4,2	16,1	25,0	23,7	11,9	24,9	5,5	3,4
14.08.2025 10:39:26	72,2	33,1	13,7	7,4	5,2	25,7	61,1	44,3	12,7	40,5	5,9	4,2
