<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: log data
C-factor: 1,00
Comment: test room aerosol conditions
online data
K-line: K	576	922	1782	0	0	32	81	0	0	0	0	
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV
14.08.2025 12:14:56	P	25	8	14	12	14	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:15:56	P	25	8	14	12	15	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:16:56	P	25	8	14	12	16	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:17:56	P	25	8	14	12	17	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:18:56	P	25	8	14	12	18	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:19:56	P	25	8	14	12	19	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:20:56	P	25	8	14	12	20	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:21:56	P	25	8	14	12	21	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:22:56	P	25	8	14	12	22	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:23:56	P	25	8	14	12	23	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:24:56	P	25	8	14	12	24	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:25:56	P	25	8	14	12	25	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:26:56	P	25	8	14	12	26	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:27:56	P	25	8	14	12	27	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:28:56	P	25	8	14	12	28	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:29:56	P	25	8	14	12	29	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:30:56	P	25	8	14	12	30	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:31:56	P	25	8	14	12	31	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 12:32:56	P	25	8	14	12	32	1	20	0	130	50	1	5	0	0	0	6	
14.08.2025 12:33:56	P	25	8	14	12	33	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 12:34:56	P	25	8	14	12	34	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 12:35:56	P	25	8	14	12	35	1	20	0	130	46	1	5	0	0	0	6	
