Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm),Datensatz 2:Zeit(s),Datensatz 2:Force 1(N),Datensatz 2:Respiration Rate 1(bpm),Datensatz 2:Force 2(N),Datensatz 2:Respiration Rate 2(bpm),Datensatz 3:Zeit(s),Datensatz 3:Force 1(N),Datensatz 3:Respiration Rate 1(bpm),Datensatz 3:Force 2(N),Datensatz 3:Respiration Rate 2(bpm),Datensatz 4:Zeit(s),Datensatz 4:Force 1(N),Datensatz 4:Respiration Rate 1(bpm),Datensatz 4:Force 2(N),Datensatz 4:Respiration Rate 2(bpm)
32.5,12.565628051757812,,9.746612548828125,,,,,,,32.5,27.144458770751953,,13.9879150390625,,32.5,20.447803497314453,,8.8140411376953125,
32.600000000000001,11.696929931640625,,9.325042724609375,,,,,,,32.600000000000001,31.339767456054688,,14.785072326660156,,32.600000000000001,18.856037139892578,,8.0654220581054688,
32.700000000000003,11.183372497558594,,8.9954452514648438,,,,,,,32.700000000000003,35.3638916015625,,15.715095520019531,,32.700000000000003,17.172294616699219,,6.9769973754882812,
32.799999999999997,10.866554260253906,,8.7782669067382812,,,,,,,32.799999999999997,38.963890075683594,,16.8214111328125,,32.799999999999997,16.298484802246094,,5.8349075317382812,
32.899999999999999,10.649375915527344,,8.6377487182617188,,,,,,,32.899999999999999,41.838264465332031,,17.633899688720703,,32.899999999999999,15.89990234375,,4.8154678344726562,
33,10.531852722167969,,8.5304336547851562,,,,,,,33,43.836273193359375,,18.413173675537109,,33,15.225387573242188,,4.0489654541015625,
33.100000000000001,10.488410949707031,,8.4742279052734375,,,,,,,33.100000000000001,44.988578796386719,,19.059589385986328,,33.100000000000001,14.236602783203125,,3.5354080200195312,
33.200000000000003,10.483306884765625,,8.4818878173828125,,,,,,,33.200000000000003,45.305397033691406,,19.412181854248047,,33.200000000000003,13.033195495605469,,3.2134780883789062,
33.299999999999997,10.649375915527344,,8.6019744873046875,,,,,,,33.299999999999997,44.536342620849609,,19.269100189208984,,33.299999999999997,12.33056640625,,2.89410400390625,
33.399999999999999,11.055625915527344,,8.9034652709960938,,,,,,,33.399999999999999,42.617538452148438,,18.551143646240234,,33.399999999999999,12.011192321777344,,2.664154052734375,
33.5,11.72503662109375,,9.3991317749023438,,,,,,,33.5,39.132518768310547,,16.977264404296875,,33.5,11.367332458496094,,2.6437149047851562,
33.600000000000001,12.75469970703125,,9.9944534301757812,,,,,,,33.600000000000001,33.884548187255859,,14.59600830078125,,33.600000000000001,10.820564270019531,,2.7254791259765625,
33.700000000000003,14.055191040039062,,10.597427368164062,,,,,,,33.700000000000003,28.368305206298828,,12.46002197265625,,33.700000000000003,10.593170166015625,,2.8685531616210938,
33.799999999999997,15.465553283691406,,11.218292236328125,,,,,,,33.799999999999997,23.557239532470703,,11.019004821777344,,33.799999999999997,10.531852722167969,,3.233917236328125,
33.899999999999999,16.725170135498047,,11.765068054199219,,,,,,,33.899999999999999,19.617427825927734,,10.211624145507812,,33.899999999999999,10.991752624511719,,4.429656982421875,
34,17.757389068603516,,12.214744567871094,,,,,,,34,16.891242980957031,,10.014892578125,,34,12.611618041992188,,6.6167373657226562,
34.100000000000001,18.618423461914062,,12.600547790527344,,,,,,,34.100000000000001,14.954551696777344,,10.037887573242188,,34.100000000000001,16.0838623046875,,8.8906936645507812,
